state_id,state_abbr,county_state_label,county_id,county_name,lati,long,consolidated_city_county,population,pop_size_cohort,employment,emp_size_cohort,climate_zone,cohort,elec_consumption_mwh,elec_expendit_millions,elec_consumption_mwh_capita,elec_utility_customers,ghg_emissions_mtco2e,gas_consumption_tcf,gas_consumption_tcf_capita,occ_housing_units,water_consumption_gal,water_consumption_gal_capita,vmt_total,vmt_capita
1,AL,"Autauga County, AL",1001,Autauga County,32.532237,-86.64644,No,55049,7,21580,5,3,30705,315398.0,39864.0,6.0,22120,156670.0,316920.0,6.0,20800,25332114.0,460.0,740266187.0,13447.0
1,AL,"Baldwin County, AL",1003,Baldwin County,30.659218,-87.746067,No,199510,11,122682,9,2,21109,1064843.0,126826.0,5.0,127891,528947.0,273012.0,1.0,75149,116066055.0,582.0,3239817322.0,16239.0
1,AL,"Barbour County, AL",1005,Barbour County,31.870253,-85.405104,No,26614,6,13613,4,3,30604,136098.0,17085.0,5.0,11494,67605.0,40062.0,2.0,9122,14909195.0,560.0,391131704.0,14696.0
1,AL,"Bibb County, AL",1007,Bibb County,33.015893,-87.127148,No,22572,5,6699,2,3,30502,117401.0,14858.0,5.0,8738,58318.0,99056.0,4.0,7048,11806243.0,523.0,320513006.0,14200.0
1,AL,"Blount County, AL",1009,Blount County,33.977358,-86.56644,No,57704,8,12557,4,3,30804,328466.0,41577.0,6.0,23227,177690.0,193482.0,3.0,20619,23520539.0,408.0,673272458.0,11668.0
1,AL,"Bullock County, AL",1011,Bullock County,32.101759,-85.717261,No,10552,3,3422,1,3,30301,53059.0,6709.0,5.0,4345,26357.0,31638.0,3.0,3556,6186642.0,586.0,167836840.0,15906.0
1,AL,"Butler County, AL",1013,Butler County,31.751667,-86.681969,No,20280,5,12211,4,3,30504,117812.0,14944.0,6.0,9655,58522.0,32256.0,2.0,7675,22568262.0,1113.0,689255139.0,33987.0
1,AL,"Calhoun County, AL",1015,Calhoun County,33.771706,-85.822513,No,115883,9,71664,8,3,30908,648757.0,82123.0,6.0,51932,350959.0,788725.0,7.0,45071,53512407.0,462.0,1453111884.0,12539.0
1,AL,"Chambers County, AL",1017,Chambers County,32.915504,-85.394032,No,34018,6,12279,4,3,30604,207888.0,26283.0,6.0,16463,103266.0,153560.0,5.0,13851,20775028.0,611.0,566425834.0,16651.0
1,AL,"Cherokee County, AL",1019,Cherokee County,34.069515,-85.654242,No,25897,6,7709,3,3,30603,162897.0,20819.0,6.0,15835,88122.0,86644.0,3.0,10999,13580194.0,524.0,362839833.0,14011.0
1,AL,"Chilton County, AL",1021,Chilton County,32.854051,-86.726607,No,43817,7,15155,4,3,30704,265901.0,33633.0,6.0,18757,132083.0,137267.0,3.0,16619,27667822.0,631.0,842746706.0,19233.0
1,AL,"Choctaw County, AL",1023,Choctaw County,31.990997,-88.248908,No,13287,4,4571,1,3,30401,84560.0,10524.0,6.0,7052,42004.0,30309.0,2.0,5562,8539258.0,643.0,233453773.0,17570.0
1,AL,"Clarke County, AL",1025,Clarke County,31.685521,-87.818624,No,24847,5,13550,4,3,30504,143136.0,17997.0,6.0,12260,71101.0,62871.0,3.0,9554,14657953.0,590.0,394083757.0,15860.0
1,AL,"Clay County, AL",1027,Clay County,33.2704,-85.863525,No,13483,4,6496,2,3,30402,80064.0,10113.0,6.0,6569,39771.0,69581.0,5.0,5363,7052659.0,523.0,191713537.0,14219.0
1,AL,"Cleburne County, AL",1029,Cleburne County,33.671964,-85.516126,No,14991,4,2803,1,3,30401,86909.0,10996.0,6.0,6514,43171.0,40028.0,3.0,5834,16960160.0,1131.0,535814689.0,35742.0
1,AL,"Coffee County, AL",1031,Coffee County,31.402258,-85.989602,No,50991,7,26771,6,3,30706,304293.0,39400.0,6.0,22264,151153.0,68520.0,1.0,19375,20751822.0,407.0,556804968.0,10920.0
1,AL,"Colbert County, AL",1033,Colbert County,34.703112,-87.801457,No,54377,7,44941,7,3,30707,344526.0,35739.0,6.0,25472,186379.0,505550.0,9.0,22105,29300031.0,539.0,784493297.0,14427.0
1,AL,"Conecuh County, AL",1035,Conecuh County,31.430926,-86.988722,No,12697,4,4823,1,3,30401,74379.0,9328.0,6.0,6871,36947.0,34493.0,3.0,5090,17957563.0,1414.0,551167087.0,43409.0
1,AL,"Coosa County, AL",1037,Coosa County,32.931445,-86.243482,No,10864,3,1725,1,3,30301,64136.0,8112.0,6.0,6284,31859.0,36064.0,3.0,4206,8903759.0,820.0,243656679.0,22428.0
1,AL,"Covington County, AL",1039,Covington County,31.243987,-86.448721,No,37729,6,19928,5,3,30605,209762.0,29372.0,6.0,18292,104197.0,74744.0,2.0,15179,21650150.0,574.0,574180943.0,15219.0
1,AL,"Crenshaw County, AL",1041,Crenshaw County,31.732826,-86.319222,No,13896,4,6642,2,3,30402,76217.0,10436.0,5.0,6524,37860.0,25154.0,2.0,5426,8387049.0,604.0,227450495.0,16368.0
1,AL,"Cullman County, AL",1043,Cullman County,34.131923,-86.869267,No,81316,8,50511,7,3,30807,489423.0,59294.0,6.0,36179,264764.0,508872.0,6.0,31081,42561339.0,523.0,1240689479.0,15258.0
1,AL,"Dale County, AL",1045,Dale County,31.430654,-85.609476,No,49607,7,18785,5,3,30705,284461.0,35766.0,6.0,22242,141302.0,44375.0,1.0,18794,26347845.0,531.0,700021934.0,14111.0
1,AL,"Dallas County, AL",1047,Dallas County,32.33354,-87.114356,No,41426,7,20927,5,3,30705,235731.0,29854.0,6.0,19713,117096.0,355255.0,9.0,16099,21747546.0,525.0,586211049.0,14151.0
1,AL,"DeKalb County, AL",1049,DeKalb County,34.460929,-85.803992,No,70937,8,35408,6,3,30806,358945.0,40409.0,5.0,30256,194179.0,144307.0,2.0,24811,37906729.0,534.0,1056419466.0,14892.0
1,AL,"Elmore County, AL",1051,Elmore County,32.597229,-86.142735,No,80957,8,27615,6,3,30806,450258.0,56951.0,6.0,32451,223660.0,320818.0,4.0,28890,34815173.0,430.0,967232582.0,11947.0
1,AL,"Escambia County, AL",1053,Escambia County,31.122287,-87.16841,No,37875,6,20073,5,3,30605,211270.0,26700.0,6.0,15992,104946.0,62563.0,2.0,13536,25841013.0,682.0,746532061.0,19710.0
1,AL,"Etowah County, AL",1055,Etowah County,34.047641,-86.034263,No,103363,9,61521,8,3,30908,566897.0,71758.0,5.0,46262,306675.0,884896.0,9.0,39522,50400132.0,488.0,1357473152.0,13133.0
1,AL,"Fayette County, AL",1057,Fayette County,33.716157,-87.764292,No,16783,4,6292,2,3,30402,104504.0,13230.0,6.0,8192,51911.0,83498.0,5.0,6850,8268750.0,493.0,223147595.0,13296.0
