state_id,state_abbr,county_state_name,county_id,county_name,latitude,longitude,consolidated_city-county,population,population_cohort,employment,employment_cohort,doe_climate_zone,cohort,consumption (MWh),expenditures in Millions,consumption (MWh/capita),utility customers,GHG emissions mtons CO2e,consumption (TcF),consumption (TcF/capita),occuped housing units,buildings,area (sq. ft.),consumption (gallons),consumption (gallons/capita),vehicle miles traveled (miles),vehicle miles traveled (miles/capita),establishments
1,AL,"Autauga County, AL",1001,Autauga County,32.532237,-86.64644,,55049,7,21580,5,3,30705,"315,398","39,864",6,"22,120","156,670","316,920",6,"20,800",,,"25,332,114",460,"740,266,187","13,447",
1,AL,"Baldwin County, AL",1003,Baldwin County,30.659218,-87.746067,,199510,11,122682,9,2,21109,"1,064,843","126,826",5,"127,891","528,947","273,012",1,"75,149",,,"116,066,055",582,"3,239,817,322","16,239",
1,AL,"Barbour County, AL",1005,Barbour County,31.870253,-85.405104,,26614,6,13613,4,3,30604,"136,098","17,085",5,"11,494","67,605","40,062",2,"9,122",,,"14,909,195",560,"391,131,704","14,696",
1,AL,"Bibb County, AL",1007,Bibb County,33.015893,-87.127148,,22572,5,6699,2,3,30502,"117,401","14,858",5,"8,738","58,318","99,056",4,"7,048",,,"11,806,243",523,"320,513,006","14,200",
1,AL,"Blount County, AL",1009,Blount County,33.977358,-86.56644,,57704,8,12557,4,3,30804,"328,466","41,577",6,"23,227","177,690","193,482",3,"20,619",,,"23,520,539",408,"673,272,458","11,668",
1,AL,"Bullock County, AL",1011,Bullock County,32.101759,-85.717261,,10552,3,3422,1,3,30301,"53,059","6,709",5,"4,345","26,357","31,638",3,"3,556",,,"6,186,642",586,"167,836,840","15,906",
1,AL,"Butler County, AL",1013,Butler County,31.751667,-86.681969,,20280,5,12211,4,3,30504,"117,812","14,944",6,"9,655","58,522","32,256",2,"7,675",,,"22,568,262","1,113","689,255,139","33,987",
1,AL,"Calhoun County, AL",1015,Calhoun County,33.771706,-85.822513,,115883,9,71664,8,3,30908,"648,757","82,123",6,"51,932","350,959","788,725",7,"45,071",,,"53,512,407",462,"1,453,111,884","12,539",
1,AL,"Chambers County, AL",1017,Chambers County,32.915504,-85.394032,,34018,6,12279,4,3,30604,"207,888","26,283",6,"16,463","103,266","153,560",5,"13,851",,,"20,775,028",611,"566,425,834","16,651",
1,AL,"Cherokee County, AL",1019,Cherokee County,34.069515,-85.654242,,25897,6,7709,3,3,30603,"162,897","20,819",6,"15,835","88,122","86,644",3,"10,999",,,"13,580,194",524,"362,839,833","14,011",
1,AL,"Chilton County, AL",1021,Chilton County,32.854051,-86.726607,,43817,7,15155,4,3,30704,"265,901","33,633",6,"18,757","132,083","137,267",3,"16,619",,,"27,667,822",631,"842,746,706","19,233",
1,AL,"Choctaw County, AL",1023,Choctaw County,31.990997,-88.248908,,13287,4,4571,1,3,30401,"84,560","10,524",6,"7,052","42,004","30,309",2,"5,562",,,"8,539,258",643,"233,453,773","17,570",
1,AL,"Clarke County, AL",1025,Clarke County,31.685521,-87.818624,,24847,5,13550,4,3,30504,"143,136","17,997",6,"12,260","71,101","62,871",3,"9,554",,,"14,657,953",590,"394,083,757","15,860",
1,AL,"Clay County, AL",1027,Clay County,33.2704,-85.863525,,13483,4,6496,2,3,30402,"80,064","10,113",6,"6,569","39,771","69,581",5,"5,363",,,"7,052,659",523,"191,713,537","14,219",
1,AL,"Cleburne County, AL",1029,Cleburne County,33.671964,-85.516126,,14991,4,2803,1,3,30401,"86,909","10,996",6,"6,514","43,171","40,028",3,"5,834",,,"16,960,160","1,131","535,814,689","35,742",
1,AL,"Coffee County, AL",1031,Coffee County,31.402258,-85.989602,,50991,7,26771,6,3,30706,"304,293","39,400",6,"22,264","151,153","68,520",1,"19,375",,,"20,751,822",407,"556,804,968","10,920",
1,AL,"Colbert County, AL",1033,Colbert County,34.703112,-87.801457,,54377,7,44941,7,3,30707,"344,526","35,739",6,"25,472","186,379","505,550",9,"22,105",,,"29,300,031",539,"784,493,297","14,427",
1,AL,"Conecuh County, AL",1035,Conecuh County,31.430926,-86.988722,,12697,4,4823,1,3,30401,"74,379","9,328",6,"6,871","36,947","34,493",3,"5,090",,,"17,957,563","1,414","551,167,087","43,409",
1,AL,"Coosa County, AL",1037,Coosa County,32.931445,-86.243482,,10864,3,1725,1,3,30301,"64,136","8,112",6,"6,284","31,859","36,064",3,"4,206",,,"8,903,759",820,"243,656,679","22,428",
